date,variable,value,value01
7/1/1967,pce,506.7,0
8/1/1967,pce,509.8,0.00026525
9/1/1967,pce,515.6,0.000761523
10/1/1967,pce,512.2,0.000470604
11/1/1967,pce,517.4,0.000915539
12/1/1967,pce,525.1,0.001574385
1/1/1968,pce,530.9,0.002070659
2/1/1968,pce,533.6,0.002301683
3/1/1968,pce,544.3,0.003217222
4/1/1968,pce,544,0.003191553
5/1/1968,pce,549.8,0.003687827
6/1/1968,pce,556.3,0.004243996
7/1/1968,pce,563.2,0.00483439
8/1/1968,pce,567,0.005159535
9/1/1968,pce,568.2,0.005262212
10/1/1968,pce,571.6,0.005553131
11/1/1968,pce,576.7,0.00598951
12/1/1968,pce,576.5,0.005972397
1/1/1969,pce,583.5,0.006571348
2/1/1969,pce,588.7,0.007016283
3/1/1969,pce,588.9,0.007033396
4/1/1969,pce,593.9,0.007461218
5/1/1969,pce,600.3,0.00800883
6/1/1969,pce,600.9,0.008060169
7/1/1969,pce,602.7,0.008214185
8/1/1969,pce,609.9,0.008830249
9/1/1969,pce,613.2,0.009112611
10/1/1969,pce,618.5,0.009566103
11/1/1969,pce,620.5,0.009737232
12/1/1969,pce,622.8,0.00993403
1/1/1970,pce,628.7,0.01043886
2/1/1970,pce,634,0.010892351
3/1/1970,pce,632.3,0.010746892
4/1/1970,pce,636,0.01106348
5/1/1970,pce,642.4,0.011611093
6/1/1970,pce,646.3,0.011944794
7/1/1970,pce,648.5,0.012133036
8/1/1970,pce,652.9,0.012509519
9/1/1970,pce,659.1,0.013040018
10/1/1970,pce,658.3,0.012971567
11/1/1970,pce,656.6,0.012826107
12/1/1970,pce,665.6,0.013596187
1/1/1971,pce,676.1,0.014494614
2/1/1971,pce,679.4,0.014776976
3/1/1971,pce,682,0.014999444
4/1/1971,pce,688.8,0.015581282
5/1/1971,pce,691.1,0.01577808
6/1/1971,pce,699.8,0.016522491
7/1/1971,pce,698.9,0.016445483
8/1/1971,pce,704.9,0.016958869
9/1/1971,pce,713,0.017651941
10/1/1971,pce,715.8,0.017891521
11/1/1971,pce,720.9,0.0183279
12/1/1971,pce,728.4,0.018969633
1/1/1972,pce,731.5,0.019234883
2/1/1972,pce,736.2,0.019637036
3/1/1972,pce,749.2,0.020749373
4/1/1972,pce,752.5,0.021031736
5/1/1972,pce,758,0.02150234
6/1/1972,pce,761.6,0.021810372
7/1/1972,pce,769.9,0.022520557
8/1/1972,pce,776.3,0.023068169
9/1/1972,pce,781.1,0.023478878
10/1/1972,pce,794.9,0.024659667
11/1/1972,pce,800.5,0.025138828
12/1/1972,pce,806.1,0.025617989
1/1/1973,pce,816.5,0.026507859
2/1/1973,pce,825.8,0.027303608
3/1/1973,pce,832.8,0.027902559
4/1/1973,pce,835.7,0.028150696
5/1/1973,pce,841.6,0.028655526
6/1/1973,pce,844.3,0.02888655
7/1/1973,pce,854.1,0.029725082
8/1/1973,pce,853.3,0.02965663
9/1/1973,pce,869.2,0.031017104
10/1/1973,pce,868.2,0.03093154
11/1/1973,pce,876.9,0.03167595
12/1/1973,pce,876.6,0.031650281
1/1/1974,pce,884.5,0.03232624
2/1/1974,pce,889.7,0.032771175
3/1/1974,pce,901.4,0.033772279
4/1/1974,pce,910.8,0.034576584
5/1/1974,pce,922.4,0.035569132
6/1/1974,pce,928,0.036048293
7/1/1974,pce,937.9,0.03689538
8/1/1974,pce,954.8,0.038341419
9/1/1974,pce,955.1,0.038367088
10/1/1974,pce,959.2,0.038717903
11/1/1974,pce,956.2,0.038461209
12/1/1974,pce,961.8,0.03894037
1/1/1975,pce,975.6,0.040121159
2/1/1975,pce,989.4,0.041301948
3/1/1975,pce,990.6,0.041404626
4/1/1975,pce,995,0.041781109
5/1/1975,pce,1018.9,0.043826099
6/1/1975,pce,1026.8,0.044502058
7/1/1975,pce,1039.8,0.045614395
8/1/1975,pce,1047,0.046230459
9/1/1975,pce,1054.8,0.046897862
10/1/1975,pce,1060.9,0.047419805
11/1/1975,pce,1075.8,0.048694715
12/1/1975,pce,1092.1,0.050089415
1/1/1976,pce,1107.1,0.051372881
2/1/1976,pce,1107.7,0.05142422
