lat,long,delta_long,delta_lat
29.7,-172.8,-0.915046237,0.143475254
30.7,-172.8,-0.867012519,0.128388724
31.7,-172.8,-0.818924894,0.113232481
32.7,-172.8,-0.7707763,0.098020371
33.7,-172.8,-0.722559674,0.082766237
34.7,-172.8,-0.674267953,0.067483925
35.7,-172.8,-0.625894074,0.05218728
36.7,-172.8,-0.577430974,0.036890146
37.7,-172.8,-0.528871592,0.021606367
38.7,-172.8,-0.480208863,0.00634979
39.7,-172.8,-0.431435726,-0.008865742
40.7,-172.8,-0.382545116,-0.024026384
41.7,-172.8,-0.333529973,-0.039118291
42.7,-172.8,-0.284383233,-0.054127618
43.7,-172.8,-0.235097832,-0.069040521
44.7,-172.8,-0.185666709,-0.083843154
45.7,-172.8,-0.136082801,-0.098521673
46.7,-172.8,-0.086339045,-0.113062233
47.7,-172.8,-0.036428377,-0.12745099
48.7,-172.8,0.013656264,-0.141674098
49.7,-172.8,0.063921941,-0.155717714
29.7,-171.8,-0.925873974,0.148452629
30.7,-171.8,-0.877876822,0.133313372
31.7,-171.8,-0.829823956,0.1181107
32.7,-171.8,-0.781708423,0.102857967
33.7,-171.8,-0.73352327,0.08756853
34.7,-171.8,-0.685261545,0.072255746
35.7,-171.8,-0.636916296,0.056932969
36.7,-171.8,-0.588480569,0.041613556
37.7,-171.8,-0.539947412,0.026310864
38.7,-171.8,-0.491309873,0.011038247
39.7,-171.8,-0.442561,-0.004190937
40.7,-171.8,-0.393693839,-0.019363333
41.7,-171.8,-0.344701438,-0.034465585
42.7,-171.8,-0.295576844,-0.049484336
43.7,-171.8,-0.246313106,-0.064406232
44.7,-171.8,-0.196903271,-0.079217915
45.7,-171.8,-0.147340385,-0.093906029
46.7,-171.8,-0.097617497,-0.108457219
47.7,-171.8,-0.047727654,-0.122858129
48.7,-171.8,0.002336096,-0.137095402
49.7,-171.8,0.052580707,-0.151155683
29.7,-170.8,-0.936650173,0.153792545
30.7,-170.8,-0.888751104,0.138541117
31.7,-170.8,-0.840790281,0.12323285
32.7,-170.8,-0.792761164,0.10788073
33.7,-170.8,-0.744657209,0.092497744
34.7,-170.8,-0.696471875,0.077096879
35.7,-170.8,-0.64819862,0.061691123
36.7,-170.8,-0.599830902,0.046293462
37.7,-170.8,-0.551362178,0.030916884
38.7,-170.8,-0.502785908,0.015574376
39.7,-170.8,-0.454095548,0.000278925
40.7,-170.8,-0.405284558,-0.014956483
41.7,-170.8,-0.356346394,-0.030118859
42.7,-170.8,-0.307274515,-0.045195217
43.7,-170.8,-0.25806238,-0.060172569
44.7,-170.8,-0.208703445,-0.075037929
45.7,-170.8,-0.159191169,-0.08977831
46.7,-170.8,-0.10951901,-0.104380723
47.7,-170.8,-0.059680426,-0.118832183
48.7,-170.8,-0.009668876,-0.133119702
49.7,-170.8,0.040522184,-0.147230293
29.7,-169.8,-0.947353964,0.159455004
30.7,-169.8,-0.899603732,0.1440418
31.7,-169.8,-0.851782396,0.12857858
32.7,-169.8,-0.803884056,0.113078061
33.7,-169.8,-0.755902809,0.097552961
34.7,-169.8,-0.707832755,0.082015996
35.7,-169.8,-0.659667994,0.066479882
36.7,-169.8,-0.611402625,0.050957336
37.7,-169.8,-0.563030746,0.035461075
38.7,-169.8,-0.514546456,0.020003816
39.7,-169.8,-0.465943855,0.004598274
40.7,-169.8,-0.417217042,-0.010742832
41.7,-169.8,-0.368360116,-0.026006788
42.7,-169.8,-0.319367176,-0.041180875
43.7,-169.8,-0.270232321,-0.056252377
44.7,-169.8,-0.220949651,-0.071208578
45.7,-169.8,-0.171513263,-0.086036761
46.7,-169.8,-0.121917258,-0.100724209
47.7,-169.8,-0.072155734,-0.115258206
48.7,-169.8,-0.022222791,-0.129626034
49.7,-169.8,0.027887473,-0.143814978
29.7,-168.8,-0.957964479,0.16540001
30.7,-168.8,-0.910403079,0.149785259
31.7,-168.8,-0.862758829,0.134127536
32.7,-168.8,-0.815026633,0.118439363
33.7,-168.8,-0.767201389,0.102733265
34.7,-168.8,-0.719278001,0.087021765
35.7,-168.8,-0.671251367,0.071317386
36.7,-168.8,-0.623116389,0.055632651
37.7,-168.8,-0.574867969,0.039980083
38.7,-168.8,-0.526501007,0.024372206
39.7,-168.8,-0.478010404,0.008821544
